SlNo,Property_Name,Property_Type,Address,Landmarks,City,State_code,Country,Carpet_area,Builtup_Area,Floor,Beds,Bathroom,Balcony,BHK_Type,Status,Furnished_status,Price_per_square_feet,Year_Built,Transaction_type,Facing,Car_Parking,Type_of_ownership,Booking_amount,Buy_total_price
1,2BHK Builder Floor Apartment for New Property in Uttam Nagar,Builder Floor Apartment,"New Delhi, Delhi NCR",Near metro station. 5 min walking distance from metro station.,New Delhi,Delhi NCR,India,550,600,4,2,2,1,2,Ready to Move,Semi-Furnished,4167,2011,New Property,East,"1 Covered, 1 Open",Freehold,11000,2500000
2,"3BHK Builder Floor Apartment for New Property in Hemkunt Colony, Greater Kailash",Builder Floor Apartment,"New Delhi, Delhi N",Nearest Pamposh Enclave.,New Delhi,Delhi N,India,1300,1620,4,3,3,3,3,Ready to Move,Semi-Furnished,25309,2010,New Property,East,"2 Covered, 1 Open",Freehold,500000,41000000
3,"3BHK Multistorey Apartment for Resale in DLF Capital Greens 1 and 2 at New Moti Nagar, Kirti Nagar",Apartment,"New Delhi, Delhi N",3BHK with 3bathrooms apartment is available in DLF capital greens Moti,New Delhi,Delhi N,India,1490,1680,26,3,3,4,3,Ready to Move,Semi-Furnished,17738,2014,Resale,North,1 Covered,Freehold,2980000,29800000
4,2BHK Builder Floor Apartment for New Property in Dwarka Mor,Builder Floor Apartment,"New Delhi, Delhi NCR",Uttam nagar westpillar no 707ram nagar road,New Delhi,Delhi NCR,India,600,650,4,2,2,1,2,Ready to Move,Semi-Furnished,4308,2007,New Property,South - East,1 Covered,Freehold,11000,2800000
5,3BHK Builder Floor Apartment for Resale in Anand Vihar,Builder Floor Apartment,"New Delhi, Delhi N",Anand Vihar Metro Station,New Delhi,Delhi N,India,1200,1620,4,3,3,2,3,Ready to Move,Semi-Furnished,16667,2010,Resale,North - East,2 Covered,Freehold,1000000,27000000
6,3BHK Multistorey Apartment for Resale in Risland Sky Mansion at Chattarpur,Apartment,"New Delhi, Delhi N","MehrauliGurugram road, Ambience Mall, IGI airport",New Delhi,Delhi N,India,2310,3300,22,3,3,3,3,Ready to Move,Furnished,17424,2019,Resale,North - East,2 Covered,Freehold,5750000,57500000
7,3BHK Builder Floor Apartment for Resale in Sector 3 Rohini,Builder Floor Apartment,"New Delhi, Delhi N",rohini sec 3,New Delhi,Delhi N,India,96,1033,4,3,3,3,3,Ready to Move,Semi-Furnished,18870,,Resale,North - East,1 Covered,Freehold,1950000,19500000
8,3BHK Multistorey Apartment for Resale in IFS Apartments at Mayur Vihar 1,Apartment,"New Delhi, Delhi N",Mool Chand,New Delhi,Delhi N,India,1400,1500,7,3,3,2,3,Ready to Move,Unfurnished,16667,1999,Resale,East,,,2500000,25000000
9,2BHK Multistorey Apartment for Resale in Saket,Apartment,"New Delhi, Delhi NCR",IGNOU road,New Delhi,Delhi NCR,India,,900,4,2,2,2,2,Ready to Move,Unfurnished,5000,2000,Resale,North - East,,Freehold,200000,4500000
10,4BHK Multistorey Apartment for Resale in Guru Apartment at Sector 6 Dwarka,Apartment,"New Delhi, Delhi N",sports complex,New Delhi,Delhi N,India,2200,2450,7,4,3,3,4,Ready to Move,Semi-Furnished,13265,2000,Resale,North - East,"2 Covered, 1 Open",Freehold,1000000,32500000
11,3BHK Builder Floor Apartment for New Property in Safdarjung Enclave,Builder Floor Apartment,"New Delhi, Delhi N",Near all amenities,New Delhi,Delhi N,India,,1800,5,3,3,3,3,Ready to Move,Semi-Furnished,33333,2000,New Property,South -West,2 Covered,Freehold,5000000,60000000
12,"3BHK Multistorey Apartment for Resale in DLF Capital Greens 1 and 2 at Moti Nagar, Kirti Nagar",Apartment,"New Delhi, Delhi N",Near CTC Mall,New Delhi,Delhi N,India,1150,1550,26,3,2,4,3,Ready to Move,Furnished,20000,2010,Resale,North - East,1 Covered,Freehold,1000000,31000000
13,"3BHK Builder Floor Apartment for Resale in Kishangarh, Vasant Kunj",Builder Floor Apartment,"New Delhi, Delhi NCR","Near car market, esi dispensary.",New Delhi,Delhi NCR,India,1300,1350,5,3,3,1,3,Ready to Move,Semi-Furnished,6667,2000,Resale,West,1 Covered,Freehold,500000,9000000
14,1BHK Multistorey Apartment for Resale in Ganesh Nagar 1,Apartment,"New Delhi, Delhi NCR",Akshardham Metro Station,New Delhi,Delhi NCR,India,550,600,4,1,1,1,1,Ready to Move,Unfurnished,7500,,Resale,East,,Power Of Attorney,100000,4500000
15,"2BHK Builder Floor Apartment for New Property in Om Vihar, Nawada",Builder Floor Apartment,"New Delhi, Delhi NCR",Shiv Dairy,New Delhi,Delhi NCR,India,500,535,3,2,2,1,2,Ready to Move,Unfurnished,4486,,New Property,East,,Freehold,0,2400000
16,2BHK Builder Floor Apartment for Resale in Raj Nagar 2 Extension,Builder Floor Apartment,"New Delhi, Delhi NCR",Dada Dev Mandir,New Delhi,Delhi NCR,India,660,667,4,2,2,1,2,Ready to Move,Semi-Furnished,6747,,Resale,West,1 Covered,Freehold,500000,4500000
